osmid,y,x,street_count,highway,ref,geometry
7692452587,4600207.003815697,548701.7395242676,3,,,POINT (548701.7395242676 4600207.003815697)
11463436051,4600160.623790832,548595.858882544,4,,,POINT (548595.858882544 4600160.623790832)
7692452585,4600214.133555138,548609.9678262887,3,,,POINT (548609.9678262887 4600214.133555138)
1640717918,4600569.1839821385,549112.4935216953,3,,,POINT (549112.4935216953 4600569.1839821385)
253421681,4600640.154595924,549041.1986152849,4,,,POINT (549041.1986152849 4600640.154595924)
343675673,4600686.109484333,548828.9379109198,3,,,POINT (548828.9379109198 4600686.109484333)
253472409,4600781.611244068,549000.1647732852,3,,,POINT (549000.1647732852 4600781.611244068)
213714421,4600727.066007988,550212.6494393167,3,,,POINT (550212.6494393167 4600727.066007988)
213714423,4600719.422410959,550208.7498189445,3,,,POINT (550208.7498189445 4600719.422410959)
213716371,4600669.012949405,550524.2021815558,3,,,POINT (550524.2021815558 4600669.012949405)
3142022288,4600678.165637817,550531.1181612834,3,,,POINT (550531.1181612834 4600678.165637817)
213716377,4600645.597313063,550448.1511611342,3,,,POINT (550448.1511611342 4600645.597313063)
254113009,4600683.569926943,550249.8466891163,3,,,POINT (550249.8466891163 4600683.569926943)
518783835,4600481.9833223885,550441.0324433423,3,,,POINT (550441.0324433423 4600481.9833223885)
213721873,4600799.663633319,550889.309917602,3,,,POINT (550889.309917602 4600799.663633319)
213781893,4600808.192215419,550894.2699667986,4,,,POINT (550894.2699667986 4600808.192215419)
512517350,4600705.4008098375,550972.3452680162,3,,,POINT (550972.3452680162 4600705.4008098375)
213721881,4600654.090515172,550984.2003217309,3,,,POINT (550984.2003217309 4600654.090515172)
8777940235,4600651.064777171,550984.9472826928,3,,,POINT (550984.9472826928 4600651.064777171)
213728818,4600787.676582612,551947.3507254914,3,,,POINT (551947.3507254914 4600787.676582612)
1596455314,4600713.697504174,552111.539191534,3,,,POINT (552111.539191534 4600713.697504174)
2203046694,4600936.737667024,551937.6194173174,3,,,POINT (551937.6194173174 4600936.737667024)
213728840,4600410.549318422,552186.6147365953,3,,,POINT (552186.6147365953 4600410.549318422)
354971511,4600500.395911612,552202.443188697,3,,,POINT (552202.443188697 4600500.395911612)
213728841,4600365.385019959,552166.8844118342,4,,,POINT (552166.8844118342 4600365.385019959)
8686336408,4600419.856161391,552260.5052976046,3,,,POINT (552260.5052976046 4600419.856161391)
409464549,4600174.6667660745,552269.9988398764,1,,,POINT (552269.9988398764 4600174.6667660745)
1239875710,4600309.984758547,552330.9581399792,1,,,POINT (552330.9581399792 4600309.984758547)
213733754,4599057.383754516,552296.1560619457,3,,,POINT (552296.1560619457 4599057.383754516)
213733753,4599048.103295112,552314.6997512921,3,,,POINT (552314.6997512921 4599048.103295112)
409464882,4599288.926442884,552571.8535258042,3,,,POINT (552571.8535258042 4599288.926442884)
213742028,4599036.231129922,552289.7531698488,3,,,POINT (552289.7531698488 4599036.231129922)
213733759,4599034.163448585,552310.8137237297,3,,,POINT (552310.8137237297 4599034.163448585)
213775103,4597545.645901111,551257.1021068218,3,,,POINT (551257.1021068218 4597545.645901111)
213748332,4598061.565694885,550359.7535333118,3,,,POINT (550359.7535333118 4598061.565694885)
213748334,4598063.7990685385,550407.6575353164,3,,,POINT (550407.6575353164 4598063.7990685385)
1818309383,4597997.285027221,550407.8890663132,3,,,POINT (550407.8890663132 4597997.285027221)
1898479935,4598059.749236888,550330.1751871299,3,,,POINT (550330.1751871299 4598059.749236888)
